id_gasto;fecha;centro_costo;categoria;subcategoria; monto 
1;22-09-2025;OPE005;Activo Fijo;Infraestructura; 1.070.651 
2;21-04-2025;OPE001;Administración;Arriendos; 4.837.493 
3;22-04-2025;TEC003;Administración;Servicios; 3.709.503 
4;05-02-2025;MKT005;Personal;Sueldos; 920.295 
5;07-02-2025;MKT002;Personal;Sueldos; 4.918.052 
6;13-10-2025;TEC005;Activo Fijo;Infraestructura; 1.136.617 
7;14-10-2025;TEC001;Activo Fijo;Equipos; 4.255.753 
8;11-11-2025;MKT005;Personal;Sueldos; 3.414.971 
9;11-05-2025;TEC002;Administración;Servicios; 686.407 
10;24-06-2025;OPE003;Personal;Bonos; 2.724.166 
11;18-09-2025;TEC001;Personal;Bonos; 1.746.034 
12;06-04-2025;TEC001;Personal;Sueldos; 2.583.112 
13;12-02-2025;INM005;Administración;Arriendos; 2.928.980 
14;27-04-2025;OPE001;Activo Fijo;Equipos; 2.486.156 
15;05-02-2025;TEC004;Activo Fijo;Infraestructura; 1.294.262 
16;19-11-2025;OPE002;Administración;Arriendos; 281.666 
17;22-01-2025;MKT003;Administración;Arriendos; 87.418 
18;05-12-2025;OPE005;Activo Fijo;Infraestructura; 318.222 
19;08-01-2025;OPE003;Activo Fijo;Infraestructura; 2.657.941 
20;19-05-2025;MKT004;Administración;Servicios; 1.849.184 
21;14-02-2025;MKT005;Personal;Sueldos; 80.050 
22;06-07-2025;TEC001;Personal;Sueldos; 3.201.058 
23;07-05-2025;OPE001;Activo Fijo;Equipos; 1.059.470 
24;01-12-2025;TEC002;Personal;Bonos; 2.525.430 
25;11-08-2025;TEC002;Personal;Bonos; 836.427 
26;11-02-2025;MKT003;Personal;Sueldos; 2.922.178 
27;03-01-2025;TEC001;Personal;Bonos; 1.000.626 
28;21-02-2025;OPE004;Administración;Servicios; 3.980.667 
29;14-04-2025;TEC001;Personal;Bonos; 4.911.215 
30;07-10-2025;MKT001;Administración;Servicios; 1.011.934 
31;06-11-2025;TEC002;Personal;Sueldos; 2.037.743 
32;26-08-2025;TEC003;Personal;Bonos; 4.984.477 
