CATEGORIA;centro_costo;fecha; monto_presupuestado ;version_presupuesto
Personal;OPE001;01-02-2025; 4.812.237 ;Forecast Q1
PERSONAL   ;TEC-002;01-10-2025; 4.029.605 ;Forecast Q1
Personal;TEC002;01-08-2025; 3.528.238 ;Forecast Q1
ADMIN;TEC002   ;01-08-2025; 2.545.697 ;Budget
ADMIN;TEC001;01-07-2025; 1.253.345 ;Budget
Activo Fijo;MKT002;01-11-2025; 1.217.085 ;Forecast Q1
Activo Fijo;MKT002;01-06-2025; 1.036.406 ;Budget
Personal;MKT-001;01-05-2025; 3.796.087 ;Forecast Q2
Activo Fijo;MKT002;01-04-2025; 1.813.839 ;Budget
ACTIVO FIJO;OPE001;01-06-2025; 1.646.098 ;Forecast Q2
Administración;MKT002;01-12-2025; 1.740.712 ;Budget
Activo Fijo;TEC0-01;01-04-2025; 1.789.665 ;Forecast Q2
Administración;TEC002;01-03-2025; 2.873.529 ;Budget
ADMINISTRACION;MKT001;01-06-2025; 1.504.198 ;Forecast Q1
Administración;MKT002;01-04-2025; 2.008.890 ;Forecast Q2
personal;TEC001;01-05-2025;4724343;Forecast Q2
Personal;TEC002;01-08-2025; 5.717.521 ;Forecast Q1
Administración;   TEC002;01-05-2025; 2.511.002 ;Forecast Q1
Administración;OPE001;01-10-2025; 2.299.926 ;Budget
Administración;INM003;01-11-2025; 1.872.946 ;Forecast Q1
Activo Fijo;OPE001;01-09-2025; 1.677.812 ;Budget
Activo Fijo;OPE001;01-04-2025; 1.597.705 ;Forecast Q1
ACTIVO FIJO;MKT002;01-11-2025; 2.138.580 ;Forecast Q1
Administración;MKT001;01-07-2025; 1.151.127 ;Budget
Administración;MKT002;01-01-2025; 2.578.343 ;Forecast Q2
Personal;OPE001;01-06-2025; 4.032.575 ;Forecast Q1
Personal;MKT002;01-04-2025; 4.352.758 ;Forecast Q2
Activo Fijo;INM003;01-04-2025; 2.049.403 ;Budget
PERSONAL;MKT002;01-08-2025; 4.510.509 ;Forecast Q1
Administración;TEC002;01-12-2025; 1.672.116 ;Forecast Q1
Activo Fijo;INM003;01-12-2025; 1.487.350 ;Forecast Q1
Personal;MKT-002;01-03-2025; 4.868.523 ;Forecast Q1
Activo Fijo;INM003;01-12-2025; 1.363.441 ;Budget
ADMINISTRACION;OPE001  ;01-05-2025; 1.386.947 ;Budget
Activo Fijo;TEC002;01-01-2025; 1.741.390 ;Budget
Personal;OPE001;01-09-2025; 3.151.098 ;Forecast Q1
Personal;MKT001;01-08-2025; 4.276.098 ;Forecast Q2
ADMIN;MKT002;01-05-2025; 1.433.622 ;Forecast Q1
Personal;MKT001;01-01-2025; 5.884.706 ;Budget
Activo Fijo;TEC001;01-05-2025; 1.485.210 ;Forecast Q2
Administración;OPE001;01-03-2025; 2.458.533 ;Forecast Q1
Personal;TEC002;01-08-2025; 4.405.603 ;Forecast Q2
Activo Fijo;MKT002;01-07-2025; 1.858.278 ;Forecast Q2
Personal;MKT002;01-02-2025; 5.105.261 ;Forecast Q2
Activo Fijo;OPE001;01-04-2025; 1.242.630 ;Forecast Q1
Activo Fijo;MKT002;01-12-2025; 1.689.042 ;Forecast Q2
Activo Fijo;TEC002;01-06-2025; 2.252.908 ;Budget
Personal;MKT002;01-09-2025; 4.080.490 ;Budget
Administración;INM003;01-02-2025; 2.534.697 ;Forecast Q1
Personal;TEC002;01-07-2025; 4.355.273 ;Budget
Personal;MKT002;01-12-2025; 4.674.993 ;Forecast Q1
Activo Fijo;TEC002;01-01-2025; 911.069 ;Forecast Q2
Administración;INM003  ;01-04-2025; 1.426.679 ;Forecast Q1
Personal;INM003;01-05-2025; 3.842.195 ;Budget
Activo Fijo;OPE001;01-07-2025; 1.942.322 ;Forecast Q2
Activo Fijo;TEC-002;01-06-2025; 1.360.628 ;Budget
Administración;TEC002;01-09-2025; 2.862.628 ;Budget
Administración;INM003;01-03-2025; 2.866.608 ;Forecast Q2
Activo Fijo;INM003;01-02-2025; 971.596 ;Forecast Q2
Administración;MKT002;01-07-2025; 1.335.006 ;Forecast Q2
Personal;MKT001;01-12-2025; 4.706.324 ;Forecast Q2
Administración;OPE001;01-09-2025; 1.872.567 ;Forecast Q1
Activo Fijo;OPE001;01-06-2025; 955.856 ;Forecast Q1
Activo Fijo;TEC002;01-05-2025; 1.735.054 ;Budget
Personal;   MKT002;01-07-2025; 5.975.670 ;Forecast Q1
Activo Fijo;TEC002;01-06-2025; 679.478 ;Forecast Q2
Activo Fijo;MKT001;01-03-2025; 2.028.808 ;Budget
ADMIN;OPE001;01-06-2025; 1.647.343 ;Forecast Q2
Personal;MKT002;01-06-2025; 4.770.845 ;Budget
Personal;TEC001;01-05-2025; 3.544.657 ;Forecast Q2
Activo Fijo;MKT001;01-06-2025; 1.510.241 ;Forecast Q2
Activo Fijo;MKT002;01-04-2025; 2.325.798 ;Forecast Q1
Personal;OPE001;01-09-2025; 5.653.007 ;Budget
Administración;OPE001;01-04-2025; 2.797.442 ;Forecast Q1
Activo Fijo;TI999;01-06-2025; 1.866.115 ;Budget
Activo Fijo;MKT002;01-01-2025; 1.769.735 ;Forecast Q2
Activo Fijo;MKT002;01-09-2025; 2.240.169 ;Forecast Q1
Administración;TEC002;01-02-2025; 2.854.996 ;Budget
Administración;MKT001;01-11-2025; 1.031.788 ;Forecast Q1
Personal;TEC002;01-02-2025; 4.294.134 ;Forecast Q2
Personal;MKT002;01-01-2025;4621754;Forecast Q1
Administración;TEC001;01-02-2025; 1.967.185 ;Forecast Q2
Personal;OPE001;01-11-2025; 3.936.311 ;Forecast Q1
Personal;OPE001;01-05-2025; 3.216.499 ;Forecast Q2
Administración;TEC002;01-06-2025; 2.649.009 ;Budget
Activo Fijo;OPE001;01-01-2025; 1.949.470 ;Forecast Q1
Administración;MKT001;01-01-2025; 2.868.252 ;Budget
Administración;MKT002;01-07-2025; 1.490.383 ;Budget
Administración;MKT001;01-05-2025; 1.280.152 ;Forecast Q2
Administración;TEC001;01-10-2025; 1.106.551 ;Forecast Q2
Activo Fijo;MKT001;01-02-2025; 1.800.427 ;Forecast Q1
Administración;MKT002;01-04-2025; 2.609.319 ;Forecast Q1
Personal;MKT001   ;01-04-2025; 4.873.698 ;Forecast Q1
Administración;MKT001;01-10-2025; 2.939.716 ;Forecast Q1
